website,carousel,google-search,mobile-site,original-amp,country
punchng,1782,1983,2668,164,UK
dailypost,2716,1735,5936,175,UK
dailypost,3269,1676,10554,192,UK
dailypost,2281,2238,5979,231,UK
punchng,3170,1813,2114,393,UK
punchng,2308,2703,2238,451,UK
punchng,2754,914,5202,458,UK
punchng,4277,1207,2403,548,UK
dailypost,3877,2132,8450,570,UK
dailypost,1415,2027,7260,600,UK
washingtonpost,4974,3805,11920,611,UK
punchng,2462,2197,73708,634,UK
punchng,8305,8568,4798,779,MU
dailypost,2006,3293,6228,819,UK
punchng,2719,1528,9355,853,UK
dailypost,1948,1848,9889,867,UK
punchng,2221,1997,1518,928,UK
standardmedia,4727,2025,10695,950,UK
standardmedia,7585,3343,11851,1145,UK
dailypost,1575,1530,8551,1232,UK
punchng,2326,1726,3892,1452,UK
dailypost,3731,2095,12237,1460,UK
punchng,2191,1150,3295,1511,UK
washingtonpost,3352,3968,13372,1723,UK
lexpress,2585,2071,49395,1836,UK
dailypost,3289,2216,6501,1838,UK
washingtonpost,2913,3016,13875,1841,UK
standardmedia,11313,4428,18663,1926,UK
washingtonpost,2771,2832,13401,1981,UK
standardmedia,4564,2147,14682,1994,UK
washingtonpost,7097,2676,36591,2022,UK
standardmedia,8543,2872,11451,2088,UK
washingtonpost,11586,5322,10918,2133,UK
standardmedia,11786,1866,14022,2224,UK
washingtonpost,2809,2626,13132,2230,UK
standardmedia,3557,2247,12432,2577,UK
washingtonpost,4688,2606,16343,2584,UK
cnn,7185,1656,31590,2690,UK
lexpress,6888,10811,89898,2995,MU
cnn,12843,2306,18471,3257,UK
lexpress,13071,6865,75495,3278,MU
cnn,8800,1995,16160,3373,UK
lexpress,3782,7073,53450,3487,UK
cnn,7644,2442,18348,3763,UK
washingtonpost,2700,2642,14069,3909,UK
standardmedia,3683,2589,23084,3929,UK
cnn,9192,1755,19809,3978,UK
standardmedia,22167,2716,14970,4083,UK
punchng,5006,9905,54283,4142,MU
dailypost,17429,10589,48022,4224,MU
standardmedia,3661,2316,12003,4697,UK
lexpress,6224,6631,174142,4861,MU
cnn,10805,1827,19988,5020,UK
washingtonpost,7421,2921,12444,5068,UK
standardmedia,6617,14823,57645,5077,MU
cnn,7440,1783,15260,5107,UK
dailypost,13281,7231,30097,5124,MU
citizen,9399,55413,7395,5175,MU
dailypost,12838,8446,40221,5194,MU
dailypost,4001,11289,12074,5284,MU
washingtonpost,12853,10090,166302,5450,MU
lexpress,9292,8456,80380,5886,MU
lexpress,7269,16346,81610,6211,MU
citizen,15903,14275,43188,6219,MU
standardmedia,9871,16288,31425,6379,MU
washingtonpost,16991,34314,50641,6420,MU
theguardian,8407,14246,6509,6741,MU
punchng,1495,1311,2190,7160,UK
washingtonpost,11238,20813,78468,7294,MU
washingtonpost,9084,30140,55200,7428,MU
lexpress,4929,10912,70590,7482,MU
washingtonpost,16228,11243,62756,7907,MU
theguardian,11390,8863,9242,8150,MU
washingtonpost,13857,17465,120654,8279,MU
punchng,13077,11689,145923,9043,MU
punchng,5639,11589,53266,9141,MU
theguardian,7357,7844,35300,9354,MU
theguardian,10541,8600,22831,9399,MU
theguardian,8154,8764,34121,9465,MU
washingtonpost,15037,9998,36504,9521,MU
lexpress,7444,8163,85294,9598,MU
citizen,13027,9853,10392,9967,MU
dailypost,5231,6982,47244,9976,MU
punchng,6786,9366,45490,10168,MU
standardmedia,25548,10590,50762,10295,MU
dailypost,8403,9324,48632,10381,MU
theguardian,14721,4065,93541,10646,MU
punchng,9739,76864,154643,10973,MU
punchng,9134,9288,50001,11017,MU
standardmedia,27949,13174,33430,11645,MU
punchng,7562,19682,57403,11778,MU
dailypost,6103,10809,4766,11919,MU
dailypost,4916,10186,30481,12240,MU
punchng,9820,13456,5139,13319,MU
theguardian,4899,10269,44610,13538,MU
punchng,4248,10399,8236,14127,MU
standardmedia,3225,2229,9495,16247,UK
washingtonpost,16864,9645,3153,16657,MU
punchng,3553,83447,45492,17136,MU
dailypost,10757,6256,31666,17153,MU
punchng,6554,10076,44569,17711,MU
punchng,11025,13983,7922,18388,MU
dailypost,11550,12219,29881,18887,MU
citizen,10458,10339,4614,35264,MU
citizen,6467,7349,80081,47117,MU