website,carousel,google-search,mobile-site,original-amp,country
citizen,7602,0,29134,5758,MU
cnn,8363,8950,31664,8349,MU
dailypost,8465,9333,34689,8724,MU
lexpress,9595,9740,43315,9090,MU
punchng,13030,13718,52089,9145,MU
standardmedia,13715,17963,73325,11420,MU
theguardian,15569,19445,93915,15920,MU
washingtonpost,26421,22177,133743,20748,MU
citizen,0,0,6579,757,UK
cnn,2518,1684,8167,1322,UK
dailypost,2590,1966,9871,1568,UK
lexpress,3359,2079,13940,2720,UK
punchng,5031,2129,15507,3196,UK
standardmedia,7710,2616,19379,3586,UK
theguardian,8432,3196,51422,3805,UK
washingtonpost,19068,4112,158211,3873,UK