domain,name,cc,region,type,category,language,comment,geoloc_cc,geoloc_city,traceloc_cc,traceloc_city,size_mobile,size_desktop
lnt.ma,La Nouvelle Tribune,MA,Casablanca,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lobservateurdumaroc.info,L'Observateur,MA,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lowvelder.co.za,Laevelder Lowvelder,ZA,Nelspruit,NP,GI,AFR,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
lusakastar.com,Lusaka Star,ZM,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
lusakavoice.com,Lusaka Voice,ZM,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
majira-hall.blogspot.com,Majira,TZ,Dar es Salaam,NP,GI,SWA,,NULL,NULL,NULL,NULL,NULL,NULL
makonitimes.com,Makoni Times,SL,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
malawi24.com,Malawi 24,MW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
malawiana.net,Malawiana,MW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
malawilive.com,Malawi Live,MW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
maliactu.net,Mali Actu,ML,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
manicapost.co.zw,Manica Post,ZW,Mutare,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
maravi.blogspot.com,Maravi,ZM,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
maritzburgsun.co.za,Maritzburg Sun,ZA,Pietermaritzburg,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
marocgazette.com,Morocco Gazette,MA,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
marocpress.ma,Maroc Press,MA,National,IN,GI,ARA,Site 2,NULL,NULL,NULL,NULL,NULL,NULL
mauritiustimes.com,Mauritius Times,MU,Port Louis,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
mayotte.la1ere.fr,La 1ere,YT,Nationwide,BC,GI,FRA,Radio TV,NULL,NULL,NULL,NULL,NULL,NULL
mbc.intnet.mu,MBC,MU,National,BC,GI,FRA,Radio TV Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
mediamaxnetwork.co.ke,People Daily,KE,Nairobi,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
mg.co.za,Mail and Guardian,ZA,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
midrandreporter.co.za,Midrand Reporter,ZA,Midrand,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
mkegypt.net,MK,EG,Cairo,NP,ET,RUS,Russian,NULL,NULL,NULL,NULL,NULL,NULL
monroviainquirer.com,Inquirer,LR,Monrovia,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
moroccantimes.com,Moroccan Times,MA,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
moroccomedia.com,Morocco Media,MA,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
mtanzania.co.tz,Mtanzania,TZ,Dar es Salaam,NP,GI,SWA,,NULL,NULL,NULL,NULL,NULL,NULL
mthathaexpress.co.za,Mthatha Express,ZA,Mthatha,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
mubasher-misr.aljazeera.net,Al Jazeera Mubasher Misr,EG,National,BC,GI,ARA,TV,NULL,NULL,NULL,NULL,NULL,NULL
mutations-online.info,Mutations,CM,Yaounde,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
mutationsbf.net,Mutations,BF,Ouagadougou,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
mysierraleoneonline.com,My Sierra Leone Online,SL,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
mzalendo.net,Mzalendo,TZ,Zanzibar,IN,GI,SWA,,NULL,NULL,NULL,NULL,NULL,NULL
naijabizcom.com,Naija Biz,NG,Nationwide,IN,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nationalmirroronline.net,National Mirror,NG,Lagos,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nbs.ug,NBS,UG,National,BC,GI,ENG,TV,NULL,NULL,NULL,NULL,NULL,NULL
nehandaradio.com,Nehanda Radio,ZW,National,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
nehandatv.com,Nehanda TV,ZW,National,BC,GI,ENG,TV,NULL,NULL,NULL,NULL,NULL,NULL
new.elfagr.org,El Fagr,EG,Cairo,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
newcastleadvertiser.co.za,Newcastle Advertiser,ZA,Newcastle,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newctzen.com,New Citizen,SL,Freetown,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newmail-ng.com,New Mail,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.aniamey.com,A Niamey,NE,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
news.bestnaira.com,Best Naira News,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,BW,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,EG,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,ET,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,GH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,KE,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,MA,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,NA,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,SN,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,TZ,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,UG,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,ZA,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.google.com,Google,ZW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.maraviexpress.com,Maravi Express,MW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
news.sudanvisiondaily.com,Sudan Vision,SD,Khartoum,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newsbreaknigeria.com,News Break Nigeria,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newsdayngonline.com,Newsday,NG,Abuja,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newsdiaryonline.com,News Diary Online,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newsducamer.com,News du Camer,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
newsinlibya.com,Libya News,LY,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newsinvestigatorsng.com,News Investigators Nigeria,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newslexpoint.com,Newslex Point,UG,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newsly.ma,Newsly,MA,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
newsofthesouth.com,News of the South,ZW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newsvyb.com,News Vyb,ZW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newtelegraphonline.com,New Telegraph,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
newzimbabwevision.com,New Zimbabwe Vision,ZW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
ngex.com,Ng EX,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nhasimugweru.blogspot.com,Gweru Today,ZW,Gweru,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nigerdiaspora.net,Niger Diaspora,NE,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
nigeriaindependent.com,Nigeria Independent,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nigerianbeacon.com,Nigerian Beacon,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nigerianinquirer.com,Nigerian Inquirer,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nigeriannewsportal.com,Nigerian News Portal,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nigeriantimes.ng,Nigerian Times,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nigeriapoliticsonline.com,Nigeria Politics Online,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
nigeriastandardnewspaper.com,Naija Standard Newspaper,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
northcliffmelvilletimes.co.za,Northcliff Melville Times,ZA,Northcliff,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
northeasterntribune.co.za,North Eastern Tribune,ZA,Johannesburg (East),NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
northglennews.co.za,Northglen News,ZA,Umhlanga,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
noticiasdonorte.publ.cv,Noticias do Norte,CV,Mindelo,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
novagazeta.co.ao,Nova Gazeta,AO,Luanda,NP,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
ntv.nation.co.ke,NTV,KE,National,BC,GI,ENG,TV,NULL,NULL,NULL,NULL,NULL,NULL
observer.gm,Daily Observer,GM,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
observer24.com.na,Windhoek Observer,NA,Windhoek,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
ogavendor.com,Oga Vendor,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
ontveg.com,ON TV,EG,National,BC,GI,ARA,TV,NULL,NULL,NULL,NULL,NULL,NULL
opais.co.ao,O Pais,AO,Luanda,NP,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
ouest-info.org,Ouest Info,DZ,Sidi bel Abbes,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
owlpressonline.com,Owl,SL,Freetown,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
patsakacommunityradio.org,Patsaka Nyaminyami Community Radio,ZW,Kariba,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
peaceghana.com,Peace Ghana,GH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
plentynews.com,Plenty News,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
pointblanknews.com,Point Blank News,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
politicosl.com,Politico,SL,Freetown,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
polokwaneexpress.co.za,Polokwane Express,ZA,Polokwane,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
ppbdi.com,PPB,BI,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
pulse.ng,Pulse,NG,Nationwide,IN,EN,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
puntlandi.com,Puntland I,SO,Garowe,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
puntlandnews24.com,Puntland News 24,SO,Garowe,IN,GI,SOM,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
quotidienlemessager.net,Le Messager,CM,Douala,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
radiodemocracy.sl,Radio Democracy,SL,Freetown,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
radiodespertarangola.net,Radio Despertar,AO,Luanda,BC,GI,POR,Radio,NULL,NULL,NULL,NULL,NULL,NULL
radiookapi.net,Radio Okapi,CD,National,BC,GI,FRA,Radio,NULL,NULL,NULL,NULL,NULL,NULL
radioonefm90.com,Radio One,UG,Kampala,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
radiotamazuj.org,Radio Tamazuj,SS,National,BC,GI,ARA,Radio,NULL,NULL,NULL,NULL,NULL,NULL
randburgsun.co.za,Randburg Sun,ZA,Randburg,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
rasd.tv,RASD TV,EH,National,BC,GI,SPA,TV,NULL,NULL,NULL,NULL,NULL,NULL
rc1023.fm,Radio Continental,NG,Lagos,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
realnewsmagazine.net,Realnews,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
rekordcenturion.co.za,Rekord Centurion,ZA,Centurion,NP,GI,AFR,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
rekordeast.co.za,Pretoria East Rekord,ZA,Pretoria (East),NP,GI,AFR,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
reporters365.com,Reporters 365,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
reunion.la1ere.fr,La 1ere,RE,National,BC,GI,FRA,Radio TV,NULL,NULL,NULL,NULL,NULL,NULL
risingsunchatsworth.co.za,Rising Sun Chatsworth,ZA,Chatswoth,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
royaltimes.net,Royal Times,NG,Ilorin,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
rwandawire.com,Rwanda News Wire,RW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
saharaoccidental.blogspot.com,Sahara Occidental Western Sahara,EH,National,IN,GI,FRA,Also ENG SPA,NULL,NULL,NULL,NULL,NULL,NULL
saharareporters.com,Sahara Reporters,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
salonepost.com,Salone Post,SL,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
salonetimespress.com,Salone Times,SL,Freetown,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
sandtonchronicle.co.za,Sandton Chronicle,ZA,Sandton,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
sandtonmag.co.za,Sandton,ZA,Sandton,MG,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
sawt-alahrar.net,Sawt Al Ahrar,DZ,Alger,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
sawtdjelfa.com,Sawt Djelfa,DZ,Djelfa,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
scannewsnigeria.com,Scan News,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
sdeconews.com,Sudan Commerce News,SD,National,IN,BU,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
sedibengster.com,Sedibeng Ster,ZA,Vanderbijlpark,NP,GI,AFR,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
semanarioeconomico.co.ao,Semanario Economico,AO,Luanda,NP,BU,POR,,NULL,NULL,NULL,NULL,NULL,NULL
senego.com,Senego,SN,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
silverbirdtv.com,Silverbird TV,NG,Lagos,BC,GI,ENG,TV,NULL,NULL,NULL,NULL,NULL,NULL
sites.google.com,Le Jeune Algerien,DZ,Alger,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
siyimbali.com,Siyimbali,SZ,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
skygatenews.com,Skygate News,NG,Makurdi,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
slconcordtimes.com,Concord Times,SL,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
slpublicopinion.wordpress.com,Sierra Leone Public Opinion,SL,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
societynews.co.za,Society News,ZA,Pretoria,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
somaliaone.net,Somalia One,SO,National,IN,GI,SOM,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
somalilandpress.com,Somaliland Press,SO,Hargeisa,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
sosanews.com,Sosa News,SS,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
source.co.zw,Source,ZW,National,IN,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
southafricatoday.net,South Africa Today,ZA,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
southcoastherald.co.za,South Coast Herald,ZA,Port Shepstone,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
southcoastsun.co.za,South Coast Sun,ZA,Amanzimtoti,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
southernafrican.news,Southern Times,NA,Windhoek,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
southlandssun.co.za,Southlands Sun,ZA,Durban (Southlands),NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
southsudaninfo.net,South Sudan Info,SS,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
southsudantoday.net,South Sudan Today,SS,Juba,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
southsudantribune.org,South Sudan Tribune,SS,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
sport.elkhabar.com,El Khabar Er Riadhi,DZ,Alger,NP,SP,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
sport.ennaharonline.com,Echibek,DZ,Alger,NP,SP,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
sportbrief.co.zw,Sport Brief,ZW,National,IN,SP,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
spr.fm,Somali Public Radio,SO,Foreign,BC,GI,SOM,Radio Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
standardtimespress.org,Standard Times Press,SL,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
startvtz.com,Star TV,TZ,National,BC,GI,SWA,TV,NULL,NULL,NULL,NULL,NULL,NULL
stfrancischronicle.com,St. Francis Chronicle,ZA,St. Francis Bay,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
sthelenaonline.org,St. Helena Online,SH,Jamestown,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
suna-sd.net,Sudan News Agency,SD,National,PA,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
sundayexpress.co.ls,Sunday Express,LS,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
sundayvani.intnet.mu,Sunday Vani,MU,Port Louis,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
sunnewsonline.com,Sun,NG,Nationwide,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
tabloidmedia.co.za,Chatsworth Tabloid,ZA,Chatsworth,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
tahrirnews.com,Al Tahrir,EG,Cairo,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
tchadinfos.com,Tchad Infos,TD,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
tchadonline.com,Tchad Online,TD,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
tdailynews.net,Tunis Daily News,TN,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
telquel.ma,Tel Quel,MA,National,MG,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
theabujatimes.com,Abuja Times,NG,Abuja,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theadvocatengr.com,Advocate,NG,Enugu,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thebftonline.com,Business and Financial Times,GH,Accra,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thechronicle.com.gh,Ghanaian Chronicle,GH,Accra,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thecitizenng.com,Citizen,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theeagleonline.com.ng,Eagle Online,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theglobenewspaper.blogspot.com,Globe Newspaper,ZM,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theheraldghana.com,Herald,GH,Accra,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theinfrastructurenewsng.com,Infra News,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theinsider.ug,Insider,UG,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theinvestigatornews.com,Investigator,UG,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thelead.com.ng,Lead,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theliberiandialogue.org,Liberian Dialogue,LR,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theliberiantimes.weebly.com,Liberian Times,LR,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thenationonlineng.net,Nation,NG,Nationwide,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theneighbourhoodonline.com,Neighbourhood,NG,Port Harcourt,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thenewcrusadingguideonline.com,New Crusading Guide,GH,Accra,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thenewrisingsun.net,New Rising Sun,SL,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thenews-chronicle.com,News Chronicle,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thenewsscript.com,News Script,GH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thepeoplesvoice.org.zw,People's Voice,ZW,Harare,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thepoint.gm,Point,GM,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thepointernewsonline.com,Pointer,NG,Asaba,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
therainbow.com.ng,Rainbow,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thesoutherndaily.co.zw,Southern Daily,ZW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thesummary.com.ng,Summary,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theweekendpost.com,Weekend Post,ZA,Port Elizabeth,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
theweeklyadvertiser.com,Weekly Advertiser,KE,Nairobi,NP,SH,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thewillnigeria.com,Will,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
thezimbabwemail.com,Zimbabwe Mail,ZW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
