"domain","probe_cc","hosting_cc1","hop_count"
"www.ghananewsagency.org","GH","US",8
"www.ghanareview.com","GH","US",10
"www.ghanasoccernet.com","GH","US",4
"www.ghanatoday.com","GH","NL",8
"www.ghanavoice.com","GH","US",9
"www.ghanaweb.com","GH","US",4
"www.gnet.tn","TN","TN",5
"www.golfemediaonline.com","BJ","US",5
"www.gossipnigeria.com","NG","US",5
"www.gov.ls","LS","LS",6
"www.greytown.co.za","ZA","ZA",6
"www.grocotts.co.za","ZA","ZA",6
"www.groupelavenir.org","CD","US",11
"www.grts.gm","GM","GM",3
"www.guardian.co.tz","TZ","US",10
"www.gurtong.net","SS","GB",12
"www.hallmarknews.com","NG","DE",8
"www.harare24.com","ZW","GB",8
"www.hararenews.co.zw","ZW","GB",8
"www.hebdoimmobilier-dz.com","DZ","US",8
"www.heidelbergnigelheraut.co.za","ZA","US",5
"www.herald.co.za","ZA","US",5
"www.herald.co.zw","ZW","US",6
"www.heraldlive.co.za","ZA","US",9
"www.hermanustimes.co.za","ZA","ZA",7
"www.homeviewsenegal.com","SN","US",7
"www.huhuonline.com","NG","US",9
"www.iafrica.com","ZA","US",11
"www.ibinda.com","AO","PT",5
"www.icibenin.com","BJ","CA",9
"www.icilome.com","TG","CA",9
"www.igfm.sn","SN","GB",8
"www.ilanganews.co.za","ZA","ZA",6
"www.ilorin.info","NG","US",10
"www.imatin.net","CI","DE",20
"www.imensis.co.mz","MZ","US",7
"www.imostateblog.com","NG","US",9
"www.imotrumpeta.com","NG","US",7
"www.impact24.info","DZ","US",9
"www.independent.co.ug","UG","GB",7
"www.indepthnigeria.com","NG","US",9
"www.infoconstantine.com","DZ","AU",11
"www.infoghana.info","GH","CZ",7
"www.infonigeria.net","NG","VG",10
"www.informante.web.na","NA","US",9
"www.informationng.com","NG","US",6
"www.informativenews.co.ls","LS","US",9
"www.infosen.net","SN","IT",9
"www.infosoir.com","DZ","CH",5
"www.infotunisie.com","TN","FR",8
"www.insiderzim.com","ZW","CA",8
"www.insight.com.na","NA","IN",6
"www.iol.co.za","ZA","US",5
"www.ionigeria.com","NG","US",8
"www.ippmedia.com","TZ","US",6
"www.ipreunion.com","RE","FR",6
"www.iq4news.com","NG","US",6
"www.isanganiro.org","BI","CH",10
"www.itv.co.tz","TZ","US",6
"www.ivoire-presse.com","CI","EE",20
"www.ivoireactu.net","CI","FR",6
"www.ivoirediaspo.net","CI","GB",13
"www.ivorian.net","CI","SE",16
"www.iwacu-burundi.org","BI","US",7
"www.jadidpresse.com","MA","US",9
"www.jbaynews.com","ZA","ZA",6
"www.jeune-independant.net","DZ","US",5
"www.jeunessedalgerie.com","DZ","US",7
"www.jijel-echo.com","DZ","FR",6
"www.jijel.info","DZ","FR",7
"www.jollofnews.com","GM","US",4
"www.joradp.dz","DZ","DZ",4
"www.jornalnoticias.co.mz","MZ","MZ",5
"www.journal-adjinakou-benin.info","BJ","US",10
"www.journaldebrazza.com","CG","FR",5
"www.journalducameroun.com","CM","FR",44
"www.journaldusport.ma","MA","US",12
"www.k-towndiary.com","CM","JP",28
"www.kabyle.com","DZ","US",5
"www.kapital971.com","GH","US",10
"www.kawalisse.com","DZ","FR",8
"www.kawowo.com","UG","CA",8
"www.kbc.co.ke","KE","KE",4
"www.kbn.co.za","ZA","ZA",5
"www.kenya-today.com","KE","US",5
"www.kenyamoja.com","KE","US",5
"www.kenyan-post.com","KE","US",4
"www.kenyanewsupdates.com","KE","US",6
"www.kitwetimes.com","ZM","US",8
"www.kivumedia.com","CD","US",6
"www.koerant.co.za","ZA","US",11
"www.kormorant.co.za","ZA","US",4
"www.kotzot.com","MU","GB",8
"www.kougaexpress.co.za","ZA","ZA",7
"www.kwaranews.com","NG","US",10
"www.kwayedza.co.zw","ZW","US",12
"www.kwevoel.co.za","ZA","ZA",6
"www.laconscience.com","CD","FR",4
"www.lactualite-dz.info","DZ","US",9
"www.ladepechedabidjan.info","CI","FR",12
"www.lagachettedumaroc.com","MA","FR",9
"www.lagazette-dgi.com","MG","MG",5
"www.lanation-arabe.dz","DZ","US",7
"www.lanation.dz","DZ","FR",8
"www.lanation.mg","MG","US",11
"www.lanationbenin.info","BJ","FR",7
"www.lanouvelleexpression.info","CM","US",22
"www.lanouvelletribune.info","BJ","US",5
"www.lapresse.tn","TN","TN",7
"www.lapressedujour.net","BJ","US",7
"www.laprosperiteonline.net","CD","CH",7
"www.laraignee.org","BJ","US",11
"www.lasemaineafricaine.net","CG","FR",6
"www.latestnigeriannews.com","NG","US",7
"www.lautomarche.com","DZ","CH",8
"www.laverite.mg","MG","FR",7
"www.lavieeco.com","MA","US",5
"www.leaders.com.tn","TN","FR",8
"www.lebuteur.com","DZ","US",5
"www.leconomiste.com","MA","US",5
"www.leconomistemaghrebin.com","TN","FR",8
"www.leffortcamerounais.com","CM","US",39
"www.leffortcamerounais.info","CM","US",39
"www.lejourdalgerie.com","DZ","FR",6
"www.lejournaldetanger.com","MA","IE",6
"www.lelephantdechaine.net","CI","US",11
"www.lemaghreb.tn","TN","GB",8
"www.lemaghrebdz.com","DZ","FR",6
"www.lematin.ma","MA","US",5
"www.lematinal.com","MU","NL",7
"www.lematinal.com","MU","US",7
"www.lematindz.net","DZ","FR",5
"www.lemauricien.com","MU","US",6
"www.lemidi-dz.com","DZ","CH",5
"www.lena.gov.ls","LS","LS",8
"www.lenasia-times.co.za","ZA","US",12
"www.lenouveaureveil.com","CI","US",13
"www.lenzinfo.co.za","ZA","US",12
"www.lepatriote.net","CI","US",14
"www.lepetitjournal.com","EG","FR",7
"www.lephareonline.net","CD","US",11
"www.lepotentielonline.com","CD","FR",4
"www.lequotidien-oran.com","DZ","FR",5
"www.lequotidien.sn","SN","US",11
"www.leral.net","SN","FR",8
"www.lereporter.ma","MA","FR",9
"www.les4verites.info","BJ","FR",7
"www.lesdebats.com","DZ","FR",6
"www.lesdepechesdebrazzaville.fr","CG","FR",5
"www.leseco.ma","MA","MA",7
"www.lesnouvelles.org","ET","US",8
"www.lesoftonline.net","CD","FR",6
"www.lesoirdalgerie.com","DZ","NL",5
"www.lesoleil.sn","SN","CH",9
"www.lestrepublicain.com","DZ","US",11
"www.letemps.com.tn","TN","FR",10
"www.letempsdz.com","DZ","FR",4
"www.letogolais.com","TG","GB",9
"www.leuksenegal.com","SN","US",19
"www.lexpertjournal.net","TN","FR",5
"www.lexpress.mu","MU","IE",28
"www.lexpressiondz.com","DZ","NL",5
"www.lexpressmada.com","MG","FR",9
"www.libe.ma","MA","FR",9
"www.liberte-algerie.com","DZ","CA",7
"www.liberte-togo.com","TG","FR",11
"www.linfodrome.com","CI","FR",13
"www.livenewsalgerie.com","DZ","US",9
"www.lnr-dz.com","DZ","FR",8
"www.lobservateur.cd","CD","US",10
"www.lomecite.com","TG","IN",9
"www.lomeinfos.com","TG","US",11
"www.lopinion.ma","MA","US",9
"www.lusakatimes.com","ZM","US",5
"www.mada.pro","MG","FR",5
"www.madagascar-tribune.com","MG","FR",6
"www.madagascarmagazine.com","MG","US",10
"www.madagate.com","MG","US",14
"www.madamasr.com","EG","US",5
"www.madonline.com","MG","FR",6
"www.magazetini.com","TZ","US",6
"www.malawianwatchdog.com","MW","US",7
"www.malawivoice.com","MW","US",8
"www.maledatimes.com","ET","US",12
"www.manaonline.gov.mw","MW","MW",6
"www.mapnews.ma","MA","MA",6
"www.maravipost.com","MW","US",7
"www.maroc-hebdo.press.ma","MA","US",13
"www.marocpress.com","MA","US",10
"www.masralarabia.com","EG","FR",26
"www.masvingomirror.com","ZW","US",10
"www.mbc.mw","MW","US",8
"www.medi1.com","MA","FR",7
"www.mediacentre.go.ug","UG","DE",9
"www.mediacongo.net","CD","CH",11
"www.mediamaxnetwork.co.ke","KE","US",5
"www.medianigeria.com","NG","US",10
"www.mena.org.eg","EG","IE",8
"www.menara.ma","MA","MA",6
"www.mercado.co.ao","AO","GB",6
"www.metroworld.tv","GH","US",6
"www.midi-madagasikara.mg","MG","FR",9
"www.miningnewszambia.com","ZM","ZA",6
"www.mmegi.bw","BW","US",7
"www.mmo.co.mz","MZ","US",5
"www.modernghana.com","GH","US",4
"www.monitor.co.ug","UG","GB",8
"www.moov.mg","MG","US",9
"www.moroccobusinessnews.com","MA","MA",6
"www.moroccomirror.com","MA","US",11
"www.moroccoworldnews.com","MA","US",9
"www.mostaganem-aujourdhui.com","DZ","FR",5
"www.muvitv.com","ZM","US",7
"www.mw","MW","SE",9
"www.mwanahalisi.co.tz","TZ","US",10
"www.mwananchi.co.tz","TZ","GB",6
"www.mwanaspoti.co.tz","TZ","GB",6
"www.mwebantu.news","ZM","US",11
"www.mwnation.com","MW","US",7
"www.mybulawayo.com","ZW","NL",9
"www.mydailynewswatchng.com","NG","US",10
"www.mygweru.com","ZW","ZA",6
"www.myjoyonline.com","GH","CA",7
"www.myzimbabwe.co.zw","ZW","US",10
"www.naij.com","NG","US",30
"www.naijalately.com","NG","US",7
"www.naijaleaks.org","NG","AU",12
"www.nairaland.com","NG","US",6
"www.nairobi.com","KE","GB",9
"www.nairobigossips.com","KE","US",31
"www.namibian.com.na","NA","ZA",4
"www.namibtimes.net","NA","NA",3
"www.nampa.org","NA","NA",5
"www.nan.ng","NG","US",31
"www.nation.co.ke","KE","US",5
"www.nation.sc","SC","FR",9
"www.nationalaccordnewspaper.com","NG","US",9
"www.nationaldailyng.com","NG","US",6
"www.nationalnetworkonline.com","NG","US",6
"www.nazret.com","ET","US",8
"www.nbc.na","NA","US",10
"www.netpress.bi","BI","BI",5
"www.netwerk24.com","ZA","ZA",7
"www.newbusinessethiopia.com","ET","US",10
"www.newera.com.na","NA","DE",7
"www.newnationsouthsudan.com","SS","DE",11
"www.newpressphoto.com","DZ","FR",6
"www.news.co.za","ZA","GB",9
"www.news.mboa.info","CM","US",39
"www.news24.co.ke","KE","ZA",10
"www.news24.com","ZA","ZA",7
"www.news24.com.ng","NG","ZA",9
"www.newsday.co.zw","ZW","US",11
"www.newsday.com.ng","NG","NL",9
"www.newsdirectonline.com","NG","CA",7
"www.newsdzezimbabwe.co.uk","ZW","US",8
"www.newsexpressngr.com","NG","US",10
"www.newsghana.com.gh","GH","US",4
"www.newsjournal.com.ng","NG","US",7
"www.newsmada.com","MG","US",13
"www.newsng.com","NG","US",28
"www.newsofrwanda.com","RW","US",9
"www.newspapers.co.za","ZA","ZA",7
"www.newsudanvision.com","SS","CA",9
"www.newtimes.co.rw","RW","US",11
"www.newvision.co.ug","UG","SG",9
"www.newvisionzambia.co.zm","ZM","US",10
"www.newzimbabwe.com","ZW","GB",7
"www.ngamitimes.com","BW","US",6
"www.ngrguardiannews.com","NG","US",5
"www.nifahamishe.com","TZ","US",8
"www.nigerdeltastandard.com","NG","US",7
"www.nigerdeltatimes.com","NG","US",8
"www.nigeria-news-world.com","NG","US",6
"www.nigeria70.com","NG","US",7
"www.nigeriadailynews.com","NG","US",6
"www.nigeriahornnewspapers.com","NG","HK",8
"www.nigeriahornnewspapers.com","NG","NL",6
"www.nigeriamasterweb.com","NG","US",7
"www.nigerianbulletin.com","NG","NL",7
"www.nigerianbulletin.com","NG","SG",9
"www.nigerianbulletin.com","NG","US",6
"www.nigeriancurrent.com","NG","US",10
"www.nigerianewsday.com","NG","US",8
"www.nigerianewsupdates.com","NG","US",8
"www.nigerianeye.com","NG","US",5
"www.nigerianmonitor.com","NG","US",6
"www.nigeriannews.com","NG","US",9
"www.nigerianobservernews.com","NG","US",10
"www.nigerianorientnews.com","NG","US",7
"www.nigeriapolitico.net","NG","US",9
"www.nigeriasun.com","NG","US",11
"www.nigeriatell.com","NG","US",30
"www.nigeriavillagesquare.com","NG","US",7
"www.nigeriaworld.com","NG","US",6
"www.nileinternational.net","EG","NL",7
"www.niletc.tv","EG","US",6
"www.noseweek.co.za","ZA","ZA",5
"www.notrevoie.com","CI","US",15
"www.nouvellesmutations.com","BJ","US",7
"www.novojornal.co.ao","AO","US",9
"www.ntanews24.tv","NG","US",9
"www.ntv.co.ug","UG","US",10
"www.numidianewstv.com","DZ","VG",10
"www.nyasatimes.com","MW","US",4
"www.obsac.com","CD","US",11
"www.observer.co.za","ZA","ZA",6
"www.observer.org.sz","SZ","SZ",7
"www.observer.ug","UG","US",11
"www.odili.net","NG","US",6
"www.ofm.co.za","ZA","ZA",6
"www.ogtv.com.ng","NG","US",8
"www.ogunradio.com","NG","US",9
"www.ondoevents.com","NG","US",10
"www.ondonews.com","NG","VG",10
"www.openzambia.com","ZM","US",5
"www.opinionnigeria.com","NG","US",6
"www.orakonews.com","MW","US",6
"www.oran-aps.dz","DZ","DZ",5
"www.oranais.com","DZ","FR",4
"www.ortb.info","BJ","US",7
"www.osundefender.org","NG","US",8
"www.ouargla-aps.dz","DZ","DZ",5
"www.ouarsenis.com","DZ","FR",7
"www.ouestribune-dz.com","DZ","FR",4
"www.oujdacity.net","MA","FR",7
"www.pa-lunion.com","TG","FR",9
"www.paarlpost.co.za","ZA","ZA",7
"www.pe-express.co.za","ZA","ZA",7
"www.peacefmonline.com","GH","US",4
"www.peoplesdailyng.com","NG","US",9
"www.peoplespost.co.za","ZA","ZA",7
"www.persecondnews.com","NG","US",10
"www.pgzambia.com","ZM","GB",7
"www.ph-microscope.com","NG","US",7
"www.pindula.co.zw","ZW","GB",8
"www.planetesport.dz","DZ","FR",6
"www.pmbfever.co.za","ZA","ZA",7
"www.pmnewsnigeria.com","NG","US",30
"www.politicsweb.co.za","ZA","ZA",6
"www.polity.org.za","ZA","ZA",6
"www.poptel.org.uk","MZ","GB",6
"www.portalangop.co.ao","AO","AO",6
"www.portaldeangola.com","AO","US",4
"www.postwatchmagazine.com","CM","US",39
"www.potchefstroomherald.co.za","ZA","ZA",6
"www.premiumtimesng.com","NG","NL",8
"www.presse-dz.com","DZ","US",5
"www.promptnewsonline.com","NG","US",10
"www.punchng.com","NG","US",6
"www.qfmzambia.com","ZM","US",5
"www.quotidienlematin.com","BJ","US",9
"www.r1.mu","MU","US",11
"www.radioalgerie.dz","DZ","DZ",7
"www.radiobotswana.gov.bw","BW","BW",5
"www.radiodialogue.com","ZW","US",8
"www.radioecclesia.org","AO","NL",6
"www.radiogameli.com","TG","DK",10
"www.radiolagosekofm.net","NG","US",7
"www.radiolome.tg","TG","US",12
"www.radiomaria.org.zm","ZM","IT",8
"www.radionigeriaibadan.com","NG","US",10
"www.radionigeriakaduna.net","NG","US",8
"www.radionigerialagos.com","NG","US",11
"www.radiotunis.com","TN","US",7
"www.radiovop.com","ZW","ZA",6
"www.radiowa.org","UG","IT",10
"www.raiamwema.co.tz","TZ","CA",7
"www.rapport.co.za","ZA","ZA",7
"www.rayaam.net","SD","US",9
"www.rba.co.rw","RW","RW",5
"www.rdcongoinfos.com","CD","US",13
"www.realites.com.tn","TN","US",6
"www.redeangola.info","AO","US",8
"www.reflexiondz.net","DZ","FR",8
"www.reporters.dz","DZ","FR",9
"www.reportghananews.com","GH","US",10
"www.republicoftogo.com","TG","US",8
"www.republikein.com.na","NA","US",5
"www.rewmi.com","SN","FR",7
"www.risingsunlenasia.co.za","ZA","US",4
"www.rm.co.mz","MZ","MZ",5
"www.rna.ao","AO","US",8
"www.rnanews.com","RW","DK",7
"www.rpa.bi","BI","CH",9
"www.rtc.cv","CV","PT",7
"www.rti.ci","CI","FR",10
"www.rtnb.bi","BI","GB",9
"www.rts.sn","SN","FR",7
"www.rumeursdabidjan.net","CI","FR",12
"www.rumo.co.ao","AO","GB",6
"www.sabc.co.za","ZA","ZA",5
"www.sagoodnews.co.za","ZA","DE",9
"www.sake24.com","ZA","ZA",7
"www.sapo.ao","AO","PT",7
"www.sapo.cv","CV","PT",6
"www.sapo.mz","MZ","PT",7
"www.sbc.sc","SC","SC",4
"www.sen24heures.com","SN","FR",7
"www.sen360.com","SN","FR",7
"www.senegambianews.com","GM","JP",9
"www.senenews.com","SN","DE",10
"www.senetoile.net","SN","FR",7
"www.seneweb.com","SN","US",6
"www.sensornewsonline.com.ng","NG","GB",5
"www.setif.info","DZ","CH",7
"www.setif.net","DZ","FR",4
"www.setifnews.com","DZ","US",6
"www.seychellesnewsagency.com","SC","DE",8
"www.seychellesweekly.com","SC","US",9
"www.sharpedgenews.com","NG","US",10
"www.shorouknews.com","EG","US",6
"www.sis.gov.eg","EG","EG",5
"www.siwel.info","DZ","CH",7
"www.soccer24.co.zw","ZW","GB",8
"www.sonangnon.org","BJ","",5
"www.sonangnon.org","BJ","FR",6
"www.souk-ahras.info","DZ","DE",6
"www.southafrica.info","ZA","ZA",5
"www.southafrica2day.com","ZA","US",9
"www.southerneye.co.zw","ZW","US",11
"www.southsudannation.com","SS","US",10
"www.southsudannewsagency.com","SS","US",8
"www.southsudantoday.net","SS","US",8
"www.sowetanlive.co.za","ZA","US",5
"www.sport-ivoire.ci","CI","US",12
"www.sport24.co.za","ZA","ZA",7
"www.sportelizabeth.co.za","ZA","ZA",6
"www.standardmedia.co.ke","KE","US",5
"www.starducongo.com","CG","FR",3
"www.starpress.info","MU","US",10
"www.stop.co.mz","MZ","BG",7
"www.sudan.net","SD","US",23
"www.sudanile.com","SD","GB",8
"www.sudanjem.com","SD","NL",8
"www.sudantribune.com","SD","FR",7
"www.sudantribune.com","SS","FR",8
"www.sudantribune.net","SD","FR",7
"www.sudantribune.net","SS","FR",8
"www.sudonline.sn","SN","US",9
"www.sundaymail.co.zw","ZW","US",7
"www.sundaynews.co.zw","ZW","ZA",6
"www.sundaystandard.info","BW","BW",4
"www.sundayworld.co.za","ZA","US",6
"www.sunshinecoastexpress.co.za","ZA","ZA",8
"www.supersport.com","ZA","ZA",7
"www.talk90point5.co.zm","ZM","ZM",3
"www.tamurt.info","DZ","DE",7
"www.tanzaniatoday.co.tz","TZ","US",10
"www.tbc.go.tz","TZ","TZ",4
"www.technomag.co.zw","ZW","US",12
"www.techtrends.co.zm","ZM","GB",7
"www.techzim.co.zw","ZW","GB",8
"www.tellzim.com","ZW","US",8
"www.temoignages.re","RE","FR",7
"www.temoignages.re","RE","RE",5
"www.the-star.co.ke","KE","US",5
"www.theabujainquirer.com","NG","US",26
"www.theannouncer.co.za","ZA","ZA",6
"www.thebreakingtimes.com","NG","US",6
"www.thebugle.co.za","ZA","ZA",6
"www.thebusinessconnect.co.zw","ZW","US",6
"www.thecable.ng","NG","US",6
"www.thecitizen.co.tz","TZ","GB",6
"www.theeastafrican.co.ke","KE","US",5
"www.theeastafrican.co.ke","TZ","US",6
"www.theenquirerweb.com","GH","US",8
"www.theexpress.com","TZ","TZ",2
"www.theexpress.com","TZ","US",5
"www.thefinderonline.com","GH","US",10
"www.thegambiaecho.com","GM","US",7
"www.theheartlander.com","NG","US",10
"www.theheraldnews.info","NG","US",10
"www.theheraldng.com","NG","US",6
"www.theheritagenews.com","GH","US",8
"www.theindependent.co.zw","ZW","US",11
"www.theinfostrides.com","NG","US",9
"www.themalawian.com","MW","US",8
"www.themastonline.com","ZM","ZA",8
"www.themidweeksun.co.bw","BW","ZA",4
"www.thenewage.co.za","ZA","ZA",6
"www.thenewspaper.co.za","ZA","US",5
"www.thenewswriterng.com","NG","US",7
"www.thenigerianvoice.com","NG","US",7
"www.thepatriot.co.bw","BW","ZA",6
"www.thepatriot.co.zw","ZW","ZA",6
"www.thepeople.sc","SC","DE",8
"www.thereporterethiopia.com","ET","US",5
"www.therwandan.com","RW","FR",7
"www.thestandard.co.zw","ZW","US",11
"www.thetidenewsonline.com","NG","US",7
"www.thetunistimes.com","TN","US",11
"www.thevillager.com.na","NA","US",10
"www.thevoicebw.com","BW","US",5
"www.thezimbabwean.co","ZW","US",6
"www.thezimbabwedaily.com","ZW","GB",8
"www.thezimbabwenewslive.com","ZW","US",13
"www.thinkghana.com","GH","US",9
"www.thisday.co.tz","TZ","US",10
"www.thisdaylive.com","NG","US",6
"www.tigraionline.com","ET","US",10
"www.times.co.sz","SZ","SZ",7
"www.times.co.zm","ZM","ZA",6
"www.timeslive.co.za","ZA","US",5
"www.tiozambia.com","ZM","US",9
"www.togoactualite.com","TG","FR",5
"www.togolais.info","TG","FR",5
"www.topvisages.net","CI","CA",13
"www.transactiondalgerie.com","DZ","CH",5
"www.tribune.com.ng","NG","SG",8
"www.tribunelecteurs.com","DZ","GB",7
"www.tsa-algerie.com","DZ","US",5
"www.tultogo.com","TG","FR",5
"www.tumfweko.com","ZM","US",9
"www.tunisiadaily.com","TN","US",8
"www.tunisiaonlinenews.com","TN","US",8
"www.tunisiefocus.com","TN","FR",7
"www.tunivisions.net","TN","FR",6
"www.turenchi.com","NG","US",7
"www.tvcontinental.tv","NG","US",9
"www.tvm.co.mz","MZ","MZ",4
"www.tvmada.com","MG","",10
"www.tygerburger.co.za","ZA","ZA",7
"www.ud-news.co.za","ZA","ZA",7
"www.ufctogo.com","TG","CH",6
"www.ugandanews.net","UG","US",11
"www.umhlanganews.co.za","ZA","US",12
"www.umthunywa.co.zw","ZW","ZA",6
"www.umuco.com","BI","DE",9
"www.urhobotimes.com","NG","US",8
"www.vaalweekblad.com","ZA","ZA",6
"www.vanguardngr.com","NG","US",6
"www.viasat1.com.gh","GH","US",8
"www.view.com.ng","NG","DE",8
"www.voandebele.com","ZW","NL",7
"www.voandebele.com","ZW","US",5
"www.voaportugues.com","AO","US",5
"www.voashona.com","ZW","NL",6
"www.voashona.com","ZW","US",5
"www.voazimbabwe.com","ZW","",11
"www.voazimbabwe.com","ZW","NL",6
"www.voazimbabwe.com","ZW","US",5
"www.vocfm.co.za","ZA","DE",9
"www.voix-oranie.com","DZ","US",9
"www.volksblad.com","ZA","ZA",7
"www.walf-groupe.com","SN","FR",5
"www.waltainfo.com","ET","US",8
"www.watania1.tn","TN","NL",9
"www.wataninet.com","EG","US",6
"www.weekendpost.co.bw","BW","US",5
"www.weekendpost.co.zw","ZW","IE",9
"www.weslander.co.za","ZA","ZA",8
"www.witness.co.za","ZA","ZA",7
"www.x-news.co.ke","KE","US",10
"www.xn--bnin-bpa.info","BJ","FR",3
"www.xn--runion-bva.info","RE","FR",4
"www.xn--sngal-bsab.info","SN","FR",5
"www.yazonaija.com","NG","US",7
"www.yohaig.com","NG","US",8
"www.youm7.com","EG","US",5
"www.younewsng.com","NG","US",6
"www.zambiainvest.com","ZM","IT",8
"www.zambian-economist.com","ZM","US",6
"www.zambian.com","ZM","US",8
"www.zambianews.net","ZM","US",11
"www.zambianewsonline.com","ZM","DE",7
"www.zambianintelligencenews.com","ZM","US",11
"www.zambianobserver.com","ZM","US",11
"www.zambianpolitics.com","ZM","GB",7
"www.zambiawatchdog.com","ZM","US",5
"www.zbc.co.zw","ZW","US",6
"www.zehabesha.com","ET","US",6
"www.zenga-mambu.com","CG","CH",7
"www.zimbabwebusinessnews.com","ZW","US",12
"www.zimbabwelatestnews.net","ZW","US",12
"www.zimbabwenews.net","ZW","US",16
"www.zimbabwenews.today","ZW","US",12
"www.zimbabwenewsonline.com","ZW","US",10
"www.zimbabweonlinenews.com","ZW","US",11
"www.zimbabwesituation.com","ZW","NL",10
"www.zimbabwestar.com","ZW","US",16
"www.zimbojam.com","ZW","GB",8
"www.zimdaily.com","ZW","US",10
"www.zimeye.net","ZW","US",11
"www.zimmetro.com","ZW","DE",7
"www.znbc.co.zm","ZM","US",11
"www.zodiakmalawi.com","MW","US",7
"www.zoutnet.co.za","ZA","ZA",6
"xalimasn.com","SN","US",7
"xpresstimes.co.ug","UG","US",10
"ynaija.com","NG","US",6
"zambia-times.com","ZM","GB",8
"zambia24.com","ZM","US",11
"zambiabusinesstimes.com","ZM","ZA",6
"zambianewsnetwork.com","ZM","US",10
"zambianeye.com","ZM","US",5
"zambiareports.com","ZM","GB",6
"zifmstereo.co.zw","ZW","US",18
"zimbabwe-consolidated-news.com","ZW","US",7
"zimbabwe-today.com","ZW","US",18
"zimbabwecelebrities.com","ZW","VG",11
"zimbabwedigitalnews.com","ZW","ZA",6
"zimbabweelection.com","ZW","US",7
"zimbabwehub.com","ZW","US",9
"zimbabwenews.co.uk","ZW","US",9
"zimbuzz.co.zw","ZW","US",12
"zimmetro.net","ZW","GB",8
"zimnews.net","ZW","US",9
"zimonlinenews.com","ZW","CA",8
"zimonlinenews.com","ZW","US",10
"zululandobserver.co.za","ZA","US",5
